UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030802076,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802077,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802078,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802079,94.44,95.97,64.35,36.18,0.783,0.789,0.861,0.787,0.917,0.883
1355030802080,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802081,94.00,95.77,58.11,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802082,92.16,93.24,70.58,38.24,0.832,0.811,0.886,0.818,0.924,0.921
1355030802083,89.33,94.95,32.94,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802084,85.43,90.73,29.79,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030802085,94.00,95.77,58.11,16.05,0.714,0.815,0.812,0.780,0.894,0.769
1355030802086,92.52,95.99,42.99,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802087,92.52,95.99,42.99,3.64,0.439,0.621,0.674,0.553,0.801,0.691
1355030802088,91.38,93.94,59.37,11.32,0.636,0.738,0.770,0.702,0.873,0.745
1355030802089,95.39,97.12,67.70,21.03,0.694,0.756,0.812,0.735,0.909,0.800
1355030802090,89.83,94.93,30.67,6.49,0.503,0.727,0.713,0.643,0.821,0.686
1355030802091,92.48,94.24,60.96,6.21,0.545,0.701,0.706,0.645,0.808,0.675
1355030802092,88.35,91.47,48.18,2.73,0.405,0.601,0.635,0.527,0.752,0.647
1355030803001,75.28,80.42,22.16,2.46,0.379,0.602,0.639,0.516,0.774,0.654
1355030803002,99.23,99.67,82.15,49.41,0.885,0.840,0.932,0.855,0.948,1.000
1355030803003,93.32,94.53,69.60,38.37,0.808,0.796,0.893,0.800,0.930,0.958
1355030803004,89.98,94.53,42.92,10.57,0.582,0.767,0.757,0.700,0.854,0.725
1355030803005,93.93,96.69,62.99,14.46,0.671,0.764,0.770,0.732,0.857,0.729
1355030803006,92.45,95.41,49.81,14.81,0.555,0.700,0.730,0.648,0.844,0.711
