Cod_setor,Populacao
355030807000127,277
355030807000128,605
355030807000129,517
355030807000130,368
355030807000131,735
355030807000132,338
355030807000133,120
355030807000134,448
355030807000135,628
355030807000136,225
355030807000137,551
355030807000138,529
355030807000139,271
355030807000140,285
355030807000141,97
355030807000142,163
355030807000143,122
355030808000001,639
355030808000002,393
355030808000003,737
355030808000004,850
355030808000005,704
355030808000006,676
355030808000007,281
355030808000008,1813
355030808000009,939
355030808000010,528
355030808000011,830
355030808000012,674
355030808000013,274
355030808000014,515
355030808000015,322
355030808000016,513
355030808000017,902
355030808000018,815
355030808000019,363
355030808000020,685
355030808000021,708
355030808000022,302
355030808000023,966
355030808000024,619
355030808000025,776
355030808000026,909
355030808000027,674
355030808000028,568
355030808000029,739
355030808000030,712
355030808000031,781
355030808000032,416
355030808000033,838
355030808000034,816
355030808000035,705
355030808000036,385
355030808000037,665
355030808000038,462
355030808000039,550
355030808000040,862
355030808000041,406
355030808000042,922
355030808000043,349
355030808000044,975
355030808000045,577
355030808000046,494
355030808000047,528
355030808000048,488
355030808000049,752
355030808000050,468
355030808000051,203
355030808000052,619
355030808000053,490
355030808000054,321
355030808000055,539
355030808000056,184
355030808000057,278
355030808000058,495
355030808000059,350
355030808000060,456
355030808000061,675
355030808000062,405
355030808000063,516
355030808000064,571
355030808000065,959
355030808000066,448
355030808000067,352
355030808000068,386
355030808000069,444
355030808000070,332
355030808000071,321
355030808000072,218
355030808000073,208
355030808000075,526
355030808000076,437
355030808000077,575
355030808000078,375
355030808000079,509
355030809000001,548
355030809000002,585
355030809000003,918
355030809000004,992
355030809000005,534
355030809000006,563
355030809000007,380
355030809000008,465
355030809000009,879
355030809000010,502
355030809000011,1001
355030809000012,622
355030809000013,786
355030809000014,806
355030809000015,630
355030809000016,387
355030809000017,475
355030809000018,898
355030809000019,634
355030809000020,666
355030809000021,2240
355030809000022,937
355030809000023,955
355030809000024,565
355030809000025,529
355030809000026,813
355030809000027,1018
355030809000028,386
355030809000029,607
355030809000030,560
355030809000031,575
355030809000032,435
355030809000033,566
355030809000034,995
355030809000035,780
355030809000036,693
355030809000037,782
355030809000038,670
355030809000039,720
355030809000040,983
355030809000041,628
355030809000042,125
355030809000043,743
355030809000044,1016
355030809000045,640
355030809000046,18
355030809000047,302
355030809000048,207
355030809000049,535
355030809000050,598
355030810000001,448
355030810000002,391
355030810000003,164
355030810000004,1664
355030810000005,723
355030810000006,590
355030810000007,434
355030810000008,616
355030810000009,675
355030810000010,719
355030810000011,419
355030810000012,551
355030810000013,430
355030810000014,905
355030810000015,682
355030810000016,442
355030810000017,233
355030810000018,984
355030810000019,736
355030810000020,746
355030810000021,479
355030810000022,699
355030810000023,99
355030810000024,577
355030810000025,1165
355030810000026,214
355030810000027,470
355030810000028,271
355030810000029,141
355030810000030,398
355030810000031,473
355030810000032,775
355030810000033,484
355030810000034,517
355030810000035,477
355030810000036,528
355030810000037,447
355030810000038,484
355030810000039,738
355030810000040,472
355030810000041,192
355030810000042,515
355030810000043,472
355030810000044,388
355030810000045,579
355030810000046,537
355030810000047,265
355030810000048,249
355030810000049,479
355030810000050,621
355030810000051,243
355030810000052,339
355030810000053,719
355030810000054,681
355030810000055,175
355030810000056,351
355030811000001,878
355030811000002,697
355030811000003,1525
355030811000004,967
355030811000005,901
355030811000006,639
355030811000007,1134
355030811000008,764
355030811000009,770
355030811000010,958
355030811000011,765
355030811000012,1052
355030811000013,446
355030811000014,914
355030811000015,1338
355030811000016,596
355030811000017,812
355030811000018,703
355030811000019,489
355030811000020,992
355030811000021,625
355030811000022,998
355030811000023,371
355030811000024,613
355030811000025,531
355030811000026,1005
355030811000027,631
355030811000028,200
355030811000029,516
355030811000030,765
355030811000031,958
355030811000032,401
355030811000033,789
355030811000034,570
355030811000035,1050
355030811000036,924
355030811000037,205
355030811000038,800
355030811000039,927
355030811000040,658
355030811000041,696
355030811000042,549
355030811000043,709
355030811000044,660
355030811000045,712
355030811000046,828
355030811000047,1243
355030811000048,133
355030811000049,245
355030811000050,526
355030811000051,636
355030811000052,501
355030811000053,486
355030811000054,835
355030811000055,199
355030811000056,722
355030811000057,618
355030811000058,953
355030811000059,276
355030811000060,835
355030811000061,907
355030811000062,805
355030811000063,668
355030811000064,678
355030811000065,844
355030811000066,486
355030811000067,736
355030811000068,1622
355030811000069,425
355030811000070,908
355030811000071,878
355030811000072,853
355030811000073,759
355030811000074,919
355030811000075,894
355030811000076,496
355030811000077,963
355030811000078,654
355030811000079,1052
355030811000080,220
355030811000081,1217
355030811000082,671
355030811000083,590
355030811000084,455
355030811000085,1015
355030811000086,665
355030811000087,1037
355030811000088,54
355030811000089,724
355030811000090,1308
355030811000091,1280
355030811000092,1190
355030811000093,830
355030811000094,1007
355030811000095,1235
355030811000096,765
355030811000097,911
355030811000098,479
355030811000099,779
355030811000100,527
355030811000101,697
355030811000102,763
355030811000103,501
355030811000104,655
355030811000105,726
355030811000106,697
355030811000107,1032
355030811000108,784
355030811000109,966
355030811000110,584
355030811000111,1311
355030811000112,410
355030811000113,975
355030811000114,644
355030811000115,981
355030811000116,1084
355030811000117,431
355030811000118,186
355030811000119,901
355030811000120,410
355030811000121,809
355030811000122,825
355030811000123,516
355030811000124,636
355030811000125,763
355030811000126,950
355030811000127,531
355030811000128,362
355030811000129,993
355030811000130,1008
355030811000131,1085
355030811000132,714
355030811000133,667
355030811000134,1133
355030811000135,363
355030811000136,720
355030811000137,1769
355030811000138,919
355030811000139,585
355030811000140,3183
355030811000141,443
355030811000142,616
355030811000143,950
355030811000144,363
355030811000145,1177
355030811000146,1093
355030811000147,707
355030811000148,643
355030811000149,855
355030811000150,630
355030811000151,1076
355030811000152,707
355030811000153,799
355030811000154,945
355030811000155,416
355030811000156,866
355030811000157,1000
355030811000158,363
355030811000159,932
355030811000160,559
355030811000161,693
355030811000162,1076
355030811000163,267
355030811000164,1156
355030811000165,940
355030811000166,549
355030811000167,842
355030811000168,862
355030811000169,552
355030811000171,969
355030811000172,1138
355030811000173,475
355030811000174,918
355030811000175,222
355030811000176,1013
355030811000177,1355
355030811000178,1356
355030811000179,1132
355030811000180,961
355030811000181,819
355030811000182,851
355030811000183,1000
355030811000184,1006
355030811000185,684
355030811000186,999
355030811000187,735
355030811000188,1486
355030811000189,1192
355030811000190,306
355030811000191,866
355030811000192,785
355030811000193,968
355030811000194,94
355030811000195,1441
355030811000196,884
355030811000197,1427
355030811000198,496
355030811000199,736
355030811000200,857
355030811000201,1348
355030811000202,1155
355030811000203,600
355030811000204,616
355030811000205,801
355030811000206,535
355030811000207,369
355030811000208,668
355030811000209,772
355030811000210,1104
355030811000211,889
355030811000212,706
355030811000213,605
355030811000215,264
355030811000217,1793
355030811000218,893
355030811000219,709
355030811000220,442
355030811000221,2203
355030811000222,434
355030811000223,871
355030811000224,1159
355030811000225,439
355030811000226,132
355030811000227,1433
355030811000228,684
355030811000229,699
355030811000230,660
355030811000231,529
355030811000232,461
355030811000233,816
355030811000234,430
355030811000235,850
355030811000236,878
355030811000237,745
355030811000238,656
355030811000239,743
355030811000240,774
355030811000241,588
355030811000242,910
355030811000243,882
355030811000244,778
355030811000245,423
355030811000246,528
355030811000247,603
355030811000248,659
355030811000249,656
355030811000250,302
355030811000251,422
355030811000252,306
355030811000253,693
355030811000255,1466
355030811000256,1233
355030811000257,441
355030811000258,750
355030811000259,1039
355030811000260,651
355030811000261,753
355030811000262,523
355030811000263,442
355030811000265,40
355030811000266,178
355030811000271,537
355030811000272,376
355030811000273,686
355030811000274,524
355030811000275,521
355030811000276,369
355030811000277,193
355030811000278,227
355030811000279,484
355030811000280,445
355030811000281,192
355030811000282,332
355030811000283,461
355030811000284,400
355030811000285,215
355030811000286,336
355030811000287,344
355030811000288,362
355030811000289,735
355030811000290,791
355030811000291,1547
355030811000292,431
355030811000293,183
355030811000294,585
355030811000295,524
355030811000296,597
355030811000297,576
355030811000298,618
355030811000299,719
355030811000300,466
355030811000301,219
355030811000302,363
355030811000303,416
355030811000304,867
355030811000305,535
355030811000306,948
355030811000307,383
355030811000308,897
355030811000309,618
355030811000310,588
355030811000311,637
355030811000312,876
355030811000313,311
355030811000314,562
355030811000315,1211
355030811000316,729
355030811000317,649
355030811000318,660
355030811000319,2076
355030811000320,789
355030811000321,704
355030811000322,1008
355030811000323,245
355030811000324,940
355030811000325,755
355030811000326,674
355030811000327,449
355030811000329,98
355030811000331,2526
355030811000333,1288
355030811000334,153
355030811000335,534
355030811000336,799
355030811000338,339
355030811000339,2847
355030811000341,11
355030811000343,201
355030811000344,448
355030811000345,6
355030811000346,235
355030811000350,349
355030811000352,50
355030811000354,2066
355030811000355,1175
355030811000356,278
355030811000357,130
355030811000358,242
355030811000359,609
355030811000360,271
355030811000361,125
355030811000362,175
355030811000363,355
355030811000364,1115
355030811000365,349
355030811000366,99
355030811000367,151
355030811000368,599
355030811000369,420
355030811000370,340
355030811000371,158
355030811000372,237
355030811000373,632
355030811000374,830
355030811000375,1032
355030811000376,622
355030811000377,562
355030811000378,162
355030811000379,381
355030811000380,324
355030811000381,451
355030811000382,58
355030811000383,159
355030811000384,1345
355030811000385,669
355030811000386,547
355030811000387,153
355030811000388,328
355030811000389,143
355030811000390,464
355030812000001,452
355030812000002,689
355030812000003,593
355030812000004,316
355030812000005,264
355030812000006,419
355030812000007,770
355030812000008,348
355030812000009,428
355030812000010,555
355030812000011,431
355030812000012,214
355030812000013,305
355030812000014,310
355030812000015,421
355030812000016,277
355030812000017,489
355030812000018,661
355030812000019,361
355030812000020,343
355030812000021,195
355030812000022,245
355030812000023,248
355030812000024,140
355030812000025,682
355030812000026,348
355030812000027,164
355030812000028,364
355030812000029,268
355030812000030,528
355030812000031,543
355030812000032,217
355030812000033,269
355030812000034,508
355030812000035,454
355030812000036,377
355030812000037,526
355030812000038,35
355030812000039,158
355030812000040,454
355030812000041,552
355030812000042,481
355030812000043,354
355030812000044,332
355030812000045,357
355030812000046,296
355030812000047,560
355030812000048,429
355030812000049,357
355030812000050,238
355030812000051,303
355030812000052,367
355030812000053,341
355030812000054,307
355030812000055,273
355030812000056,279
355030812000057,266
355030812000058,545
355030812000059,372
355030812000060,280
355030812000061,566
355030812000062,288
355030812000063,669
355030812000064,711
355030812000065,893
355030812000066,769
355030812000067,667
355030812000068,707
355030812000069,536
355030812000070,40
355030812000071,465
355030812000072,356
355030812000073,303
355030812000074,246
355030812000075,172
355030812000076,200
355030812000077,272
355030812000078,262
355030812000079,331
355030812000080,359
355030812000081,679
355030812000082,260
355030812000083,279
355030812000084,308
355030812000085,444
355030812000086,543
355030812000087,404
355030812000088,456
355030812000089,464
355030812000090,447
355030812000091,226
355030812000092,200
355030812000093,465
355030812000094,233
355030812000095,325
